tissue	N	ensid	gene	local.h2	local.se	local.p	gene	global.h2	global.se	global.p	gene	loc.jt.h2	loc.jt.se	glo.jt.h2	glo.jt.se
DGN-WB	922	ENSG00000089123.11	TASP1	0.000001	0.014099	0.5	TASP1	0.500977	0.162432	0.0009954	TASP1	0.000001	0.013643	0.498012	0.162400
DGN-WB	922	ENSG00000123124.9	WWP1	0.084677	0.032787	5.921e-10	WWP1	0.500736	0.159637	0.000758	WWP1	0.083489	0.032425	0.420261	0.151988
DGN-WB	922	ENSG00000126583.6	PRKCG	0.001205	0.016483	0.4709	PRKCG	0.500635	0.166772	0.001899	PRKCG	0.002524	0.016172	0.501792	0.166820
DGN-WB	922	ENSG00000121989.10	ACVR2A	0.049281	0.021386	1.456e-11	ACVR2A	0.498314	0.159008	0.000797	ACVR2A	0.047801	0.020884	0.458368	0.157052
DGN-WB	922	ENSG00000174871.6	CNIH2	0.036159	0.019836	5.419e-05	CNIH2	0.497848	0.160238	0.0009906	CNIH2	0.035570	0.019538	0.496637	0.157195
DGN-WB	922	ENSG00000148606.8	POLR3A	0.010711	0.013143	0.1357	POLR3A	0.495217	0.159659	0.0006106	POLR3A	0.008728	0.012362	0.489178	0.159894
DGN-WB	922	ENSG00000112242.10	E2F3	0.015471	0.015808	0.1135	E2F3	0.493891	0.158818	0.0007356	E2F3	0.014866	0.015659	0.492342	0.158906
DGN-WB	922	ENSG00000173210.15	ABLIM3	0.000001	0.017214	0.5	ABLIM3	0.492332	0.166702	0.002333	ABLIM3	0.000001	0.017143	0.476517	0.165265
DGN-WB	922	ENSG00000188987.2	HIST1H4D	0.000392	0.008381	0.4864	HIST1H4D	0.490504	0.158200	0.0007213	HIST1H4D	0.001117	0.008971	0.490764	0.158217
DGN-WB	922	ENSG00000167077.8	MEI1	0.409071	0.057962	0	MEI1	0.490313	0.162171	0.001041	MEI1	0.409205	0.057417	0.319737	0.107121
DGN-WB	922	ENSG00000088876.7	ZNF343	0.164722	0.038929	7.371e-12	ZNF343	0.489006	0.160243	0.0008434	ZNF343	0.154762	0.037636	0.386692	0.146173
DGN-WB	922	ENSG00000171051.4	FPR1	0.461141	0.044874	0	FPR1	0.483129	0.159342	0.001024	FPR1	0.452987	0.044950	0.262523	0.107260
DGN-WB	922	ENSG00000160207.4	HSF2BP	0.066972	0.023169	6.875e-12	HSF2BP	0.481031	0.165060	0.001733	HSF2BP	0.063540	0.022449	0.375860	0.160820
DGN-WB	922	ENSG00000136231.9	IGF2BP3	0.000517	0.010102	0.4793	IGF2BP3	0.480985	0.162152	0.001645	IGF2BP3	0.001944	0.010441	0.482179	0.162105
DGN-WB	922	ENSG00000197635.5	DPP4	0.006548	0.011136	0.292	DPP4	0.477355	0.164025	0.002545	DPP4	0.008158	0.011640	0.480573	0.163466
DGN-WB	922	ENSG00000019102.7	VSIG2	0.015930	0.017031	0.1313	VSIG2	0.476015	0.170931	0.004735	VSIG2	0.020762	0.018959	0.487801	0.170304
DGN-WB	922	ENSG00000124102.4	PI3	0.093893	0.029899	5.551e-17	PI3	0.473209	0.168805	0.003244	PI3	0.093079	0.029634	0.493228	0.159711
DGN-WB	922	ENSG00000028277.16	POU2F2	0.002879	0.007499	0.3191	POU2F2	0.471453	0.159551	0.001322	POU2F2	0.003962	0.008073	0.474580	0.159273
DGN-WB	922	ENSG00000007314.7	SCN4A	0.024155	0.015695	0.0005226	SCN4A	0.471347	0.162134	0.001573	SCN4A	0.027203	0.016735	0.525135	0.161023
DGN-WB	922	ENSG00000149428.14	HYOU1	0.006983	0.011303	0.2257	HYOU1	0.468211	0.160852	0.001707	HYOU1	0.009158	0.011761	0.478077	0.160415
DGN-WB	922	ENSG00000100290.2	BIK	0.109115	0.038389	2.349e-05	BIK	0.467354	0.168922	0.003471	BIK	0.102611	0.037101	0.393596	0.158668
DGN-WB	922	ENSG00000160999.8	SH2B2	0.058760	0.027936	0.001325	SH2B2	0.465916	0.154552	0.0008261	SH2B2	0.054510	0.026803	0.429408	0.151570
DGN-WB	922	ENSG00000124107.5	SLPI	0.034101	0.020071	0.001327	SLPI	0.463547	0.167047	0.003523	SLPI	0.036201	0.020494	0.491643	0.163586
DGN-WB	922	ENSG00000124780.9	KCNK17	0.771570	0.027087	0	KCNK17	0.462577	0.163234	0.002715	KCNK17	0.768490	0.026980	0.223707	0.051460
DGN-WB	922	ENSG00000011105.7	TSPAN9	0.054631	0.027064	0.009524	TSPAN9	0.460706	0.166072	0.004179	TSPAN9	0.049151	0.025905	0.429990	0.164519
DGN-WB	922	ENSG00000121864.5	ZNF639	0.012122	0.015337	0.2307	ZNF639	0.460475	0.157432	0.001458	ZNF639	0.011709	0.015011	0.460553	0.157288
DGN-WB	922	ENSG00000181610.8	MRPS23	0.019419	0.019170	0.168	MRPS23	0.460076	0.155028	0.0008784	MRPS23	0.020573	0.019181	0.462479	0.154480
DGN-WB	922	ENSG00000086589.7	RBM22	0.032387	0.017585	0.0005537	RBM22	0.459482	0.163305	0.002789	RBM22	0.033445	0.017756	0.481067	0.161816
DGN-WB	922	ENSG00000171530.9	TBCA	0.105048	0.031835	1.141e-13	TBCA	0.458225	0.159567	0.00138	TBCA	0.099913	0.031067	0.322081	0.148509
DGN-WB	922	ENSG00000112137.12	PHACTR1	0.201932	0.040409	0	PHACTR1	0.458077	0.158923	0.001875	PHACTR1	0.197820	0.040074	0.345675	0.141507
DGN-WB	922	ENSG00000198794.7	SCAMP5	0.014543	0.014787	0.1258	SCAMP5	0.454756	0.162731	0.002406	SCAMP5	0.014292	0.014706	0.450642	0.162578
DGN-WB	922	ENSG00000169692.8	AGPAT2	0.117301	0.036333	1.843e-06	AGPAT2	0.454646	0.165746	0.003648	AGPAT2	0.115179	0.036070	0.377054	0.155691
DGN-WB	922	ENSG00000035862.8	TIMP2	0.160317	0.034547	2.609e-15	TIMP2	0.452201	0.170631	0.006017	TIMP2	0.163297	0.034526	0.504352	0.155443
DGN-WB	922	ENSG00000184254.11	ALDH1A3	0.007881	0.016592	0.3105	ALDH1A3	0.451470	0.166082	0.003827	ALDH1A3	0.004727	0.015723	0.448464	0.166283
DGN-WB	922	ENSG00000110723.7	EXPH5	0.250945	0.048069	0	EXPH5	0.449791	0.155152	0.00121	EXPH5	0.244536	0.047680	0.267003	0.123724
DGN-WB	922	ENSG00000168887.6	C2orf68	0.074082	0.029379	8.655e-06	C2orf68	0.449786	0.164502	0.003989	C2orf68	0.067705	0.027913	0.366436	0.158743
DGN-WB	922	ENSG00000141179.9	PCTP	0.171392	0.035052	0	PCTP	0.448488	0.168125	0.004762	PCTP	0.172448	0.035160	0.347104	0.143504
DGN-WB	922	ENSG00000107281.5	NPDC1	0.385106	0.050537	0	NPDC1	0.446920	0.161667	0.002688	NPDC1	0.380382	0.050148	0.301549	0.113604
DGN-WB	922	ENSG00000106789.8	CORO2A	0.617926	0.042704	0	CORO2A	0.445446	0.161788	0.002785	CORO2A	0.615262	0.042816	0.169602	0.074547
DGN-WB	922	ENSG00000135540.7	NHSL1	0.116685	0.034304	3.739e-08	NHSL1	0.445125	0.160100	0.002619	NHSL1	0.118573	0.034415	0.400913	0.148270
DGN-WB	922	ENSG00000087250.4	MT3	0.251927	0.047767	2.406e-12	MT3	0.442972	0.167055	0.004633	MT3	0.243759	0.047302	0.281227	0.138395
DGN-WB	922	ENSG00000102755.6	FLT1	0.143688	0.034941	1.354e-13	FLT1	0.441585	0.162085	0.002738	FLT1	0.137577	0.034095	0.349294	0.149824
DGN-WB	922	ENSG00000112414.10	GPR126	0.185996	0.039157	0	GPR126	0.441508	0.163646	0.004165	GPR126	0.191061	0.039512	0.479394	0.137862
DGN-WB	922	ENSG00000176533.8	GNG7	0.205270	0.040831	2.054e-15	GNG7	0.440649	0.166125	0.004595	GNG7	0.204740	0.040383	0.425814	0.147177
DGN-WB	922	ENSG00000135519.6	KCNH3	0.071091	0.029396	2.714e-07	KCNH3	0.439130	0.162986	0.003041	KCNH3	0.074622	0.030326	0.439463	0.156631
DGN-WB	922	ENSG00000196118.7	C16orf93	0.077223	0.030822	4.468e-10	C16orf93	0.437253	0.167530	0.006253	C16orf93	0.077239	0.030797	0.400480	0.159131
DGN-WB	922	ENSG00000108424.5	KPNB1	0.000001	0.008000	0.5	KPNB1	0.437088	0.165308	0.004484	KPNB1	0.000001	0.007838	0.433621	0.165329
DGN-WB	922	ENSG00000095303.10	PTGS1	0.064220	0.028622	0.001961	PTGS1	0.436909	0.169247	0.007418	PTGS1	0.064601	0.028091	0.456187	0.164310
DGN-WB	922	ENSG00000082196.15	C1QTNF3	0.077219	0.026011	5.305e-09	C1QTNF3	0.435883	0.165459	0.005494	C1QTNF3	0.072252	0.024926	0.364105	0.160319
DGN-WB	922	ENSG00000156050.4	FAM161B	0.109661	0.033470	0	FAM161B	0.435096	0.163642	0.003192	FAM161B	0.109228	0.033119	0.450280	0.151969
DGN-WB	922	ENSG00000155380.7	SLC16A1	0.025628	0.017072	0.01519	SLC16A1	0.434277	0.160988	0.003691	SLC16A1	0.026194	0.016994	0.442633	0.159698
DGN-WB	922	ENSG00000120742.6	SERP1	0.045581	0.020963	0.0003247	SERP1	0.433804	0.164906	0.005405	SERP1	0.049669	0.021655	0.469683	0.159853
DGN-WB	922	ENSG00000116815.11	CD58	0.014007	0.014953	0.1427	CD58	0.432965	0.152573	0.00187	CD58	0.009525	0.013216	0.423252	0.152896
DGN-WB	922	ENSG00000101335.5	MYL9	0.000001	0.011171	0.5	MYL9	0.429760	0.170653	0.007535	MYL9	0.000001	0.011073	0.429884	0.169939
DGN-WB	922	ENSG00000086967.9	MYBPC2	0.029205	0.022331	0.08	MYBPC2	0.429684	0.163512	0.004724	MYBPC2	0.035413	0.023195	0.456061	0.162109
DGN-WB	922	ENSG00000103512.10	NOMO1	0.062643	0.027017	0.0001553	NOMO1	0.429026	0.153946	0.001048	NOMO1	0.070506	0.028149	0.478701	0.146270
DGN-WB	922	ENSG00000152785.6	BMP3	0.014278	0.013202	0.06387	BMP3	0.428680	0.160045	0.003203	BMP3	0.014205	0.013259	0.424100	0.159480
DGN-WB	922	ENSG00000101052.8	IFT52	0.283472	0.050017	1.146e-13	IFT52	0.426430	0.171102	0.009638	IFT52	0.271713	0.049384	0.272124	0.138976
DGN-WB	922	ENSG00000165568.13	AKR1E2	0.346026	0.049484	0	AKR1E2	0.426316	0.158522	0.002766	AKR1E2	0.336346	0.049186	0.278789	0.121959
DGN-WB	922	ENSG00000162882.10	HAAO	0.143296	0.034952	0	HAAO	0.425922	0.163053	0.005496	HAAO	0.142230	0.034611	0.363553	0.147246
DGN-WB	922	ENSG00000165916.4	PSMC3	0.023088	0.016697	0.002008	PSMC3	0.425072	0.161354	0.003848	PSMC3	0.025524	0.017711	0.453440	0.158722
DGN-WB	922	ENSG00000186081.7	KRT5	0.342298	0.047780	0	KRT5	0.424873	0.159797	0.003564	KRT5	0.342792	0.047802	0.232533	0.119439
DGN-WB	922	ENSG00000137207.7	YIPF3	0.011755	0.013957	0.1376	YIPF3	0.424540	0.162741	0.004663	YIPF3	0.010926	0.013533	0.420483	0.162581
DGN-WB	922	ENSG00000175224.12	ATG13	0.052094	0.025716	7.776e-07	ATG13	0.424399	0.159327	0.003041	ATG13	0.052390	0.025584	0.433917	0.154743
DGN-WB	922	ENSG00000158042.8	MRPL17	0.008871	0.015608	0.2856	MRPL17	0.424190	0.166050	0.006596	MRPL17	0.003091	0.013358	0.418601	0.166357
DGN-WB	922	ENSG00000196724.8	ZNF418	0.084832	0.029766	5.438e-06	ZNF418	0.423053	0.160359	0.003939	ZNF418	0.088239	0.030263	0.418120	0.152959
DGN-WB	922	ENSG00000088543.10	C3orf18	0.017099	0.014981	0.001406	C3orf18	0.421905	0.162545	0.005418	C3orf18	0.020325	0.017171	0.444708	0.159729
DGN-WB	922	ENSG00000165282.9	PIGO	0.078597	0.027071	0	PIGO	0.421092	0.160558	0.003485	PIGO	0.076945	0.026770	0.338274	0.155054
DGN-WB	922	ENSG00000070718.7	AP3M2	0.058936	0.023561	2.781e-07	AP3M2	0.420657	0.162882	0.004757	AP3M2	0.059432	0.023449	0.433209	0.157454
DGN-WB	922	ENSG00000185950.7	IRS2	0.000001	0.015861	0.5	IRS2	0.420247	0.162355	0.003962	IRS2	0.000001	0.016125	0.419439	0.162435
DGN-WB	922	ENSG00000174917.4	C19orf70	0.049178	0.024819	0.005679	C19orf70	0.417504	0.166078	0.006878	C19orf70	0.046675	0.023918	0.411255	0.163763
DGN-WB	922	ENSG00000139187.5	KLRG1	0.290696	0.049005	0	KLRG1	0.417095	0.157086	0.002969	KLRG1	0.286164	0.048942	0.075266	0.121342
DGN-WB	922	ENSG00000081913.9	PHLPP1	0.154940	0.036810	0	PHLPP1	0.416159	0.159731	0.003441	PHLPP1	0.152796	0.036683	0.299259	0.142850
DGN-WB	922	ENSG00000092330.11	TINF2	0.000001	0.013396	0.5	TINF2	0.416136	0.157836	0.0028	TINF2	0.000001	0.013560	0.409612	0.157498
DGN-WB	922	ENSG00000012048.15	BRCA1	0.027438	0.017056	0.001983	BRCA1	0.415543	0.162307	0.004902	BRCA1	0.030853	0.018213	0.434143	0.159703
DGN-WB	922	ENSG00000157540.14	DYRK1A	0.022174	0.015803	0.01154	DYRK1A	0.415221	0.168985	0.009569	DYRK1A	0.021647	0.015479	0.414205	0.168645
DGN-WB	922	ENSG00000169255.9	B3GALNT1	0.093738	0.034922	1.776e-15	B3GALNT1	0.415181	0.157237	0.003055	B3GALNT1	0.091665	0.034315	0.336290	0.149096
DGN-WB	922	ENSG00000054356.9	PTPRN	0.600156	0.046489	0	PTPRN	0.415025	0.160801	0.005073	PTPRN	0.597954	0.046525	0.213437	0.079213
DGN-WB	922	ENSG00000144134.14	RABL2A	0.046311	0.023511	0.004606	RABL2A	0.412397	0.164307	0.007615	RABL2A	0.043625	0.022820	0.374769	0.160771
DGN-WB	922	ENSG00000165929.8	TC2N	0.440242	0.047766	0	TC2N	0.412381	0.164032	0.005792	TC2N	0.436194	0.047904	0.108908	0.106677
DGN-WB	922	ENSG00000153815.12	CMIP	0.002242	0.015977	0.4474	CMIP	0.412000	0.170341	0.01007	CMIP	0.000001	0.015779	0.412887	0.170684
DGN-WB	922	ENSG00000132274.11	TRIM22	0.005333	0.014950	0.3754	TRIM22	0.411876	0.164912	0.007144	TRIM22	0.008219	0.015638	0.416303	0.164662
DGN-WB	922	ENSG00000188677.9	PARVB	0.151902	0.041839	2.806e-05	PARVB	0.411856	0.167264	0.007944	PARVB	0.150010	0.041749	0.344543	0.155391
DGN-WB	922	ENSG00000136634.5	IL10	0.294385	0.054313	0	IL10	0.411425	0.156833	0.003984	IL10	0.285126	0.053591	0.285891	0.122423
DGN-WB	922	ENSG00000041802.6	LSG1	0.630840	0.035561	0	LSG1	0.410954	0.163336	0.006337	LSG1	0.634185	0.035205	0.264763	0.076797
DGN-WB	922	ENSG00000166398.8	KIAA0355	0.063894	0.025204	2.71e-05	KIAA0355	0.410622	0.164631	0.006223	KIAA0355	0.063654	0.024920	0.415345	0.160198
DGN-WB	922	ENSG00000100243.16	CYB5R3	0.302564	0.048554	0	CYB5R3	0.410533	0.161977	0.004701	CYB5R3	0.298963	0.048483	0.257192	0.122152
DGN-WB	922	ENSG00000127920.4	GNG11	0.000001	0.014024	0.5	GNG11	0.410060	0.170223	0.01123	GNG11	0.000001	0.012819	0.401305	0.170576
DGN-WB	922	ENSG00000116983.8	HPCAL4	0.663871	0.039419	0	HPCAL4	0.409742	0.159022	0.005174	HPCAL4	0.653478	0.040123	0.183238	0.068677
DGN-WB	922	ENSG00000163380.11	LMOD3	0.007327	0.009922	0.1544	LMOD3	0.409645	0.164754	0.007322	LMOD3	0.007482	0.009821	0.412102	0.164414
DGN-WB	922	ENSG00000197933.8	ZNF823	0.096385	0.035779	6.123e-06	ZNF823	0.409556	0.160737	0.004542	ZNF823	0.096572	0.035814	0.371051	0.151771
DGN-WB	922	ENSG00000136960.8	ENPP2	0.146667	0.038732	1.11e-16	ENPP2	0.408874	0.159889	0.004502	ENPP2	0.143544	0.038263	0.344217	0.144101
DGN-WB	922	ENSG00000093072.11	CECR1	0.218905	0.047203	2.053e-09	CECR1	0.408734	0.164617	0.005849	CECR1	0.227780	0.047443	0.411417	0.140934
DGN-WB	922	ENSG00000183150.3	GPR19	0.354958	0.044383	0	GPR19	0.408521	0.166062	0.00939	GPR19	0.353578	0.044044	0.339135	0.123826
DGN-WB	922	ENSG00000103313.7	MEFV	0.377509	0.047932	0	MEFV	0.408079	0.166188	0.007252	MEFV	0.376222	0.047949	0.159473	0.112266
DGN-WB	922	ENSG00000134283.13	PPHLN1	0.137264	0.034957	0	PPHLN1	0.407698	0.161441	0.005664	PPHLN1	0.134403	0.034560	0.346704	0.147500
DGN-WB	922	ENSG00000206344.6	HCG27	0.568777	0.058971	0	HCG27	0.407134	0.159466	0.004541	HCG27	0.581921	0.057905	0.215836	0.075367
DGN-WB	922	ENSG00000114127.6	XRN1	0.025236	0.016687	0.007195	XRN1	0.406304	0.160559	0.005569	XRN1	0.023663	0.016250	0.388773	0.159699
DGN-WB	922	ENSG00000146376.6	ARHGAP18	0.009203	0.013930	0.2087	ARHGAP18	0.406164	0.164127	0.007883	ARHGAP18	0.009043	0.013794	0.406049	0.164103
DGN-WB	922	ENSG00000135604.9	STX11	0.000001	0.008884	0.5	STX11	0.406022	0.160604	0.005592	STX11	0.000001	0.008253	0.405507	0.160691
DGN-WB	922	ENSG00000160013.4	PTGIR	0.317782	0.047686	0	PTGIR	0.405792	0.159628	0.003932	PTGIR	0.317790	0.047404	0.319576	0.122381
DGN-WB	922	ENSG00000114923.12	SLC4A3	0.006067	0.011815	0.2907	SLC4A3	0.405705	0.162764	0.007283	SLC4A3	0.010820	0.013171	0.430610	0.163032
DGN-WB	922	ENSG00000143322.15	ABL2	0.345839	0.061366	0	ABL2	0.405694	0.154046	0.003412	ABL2	0.339332	0.061209	0.168580	0.107498
DGN-WB	922	ENSG00000164082.10	GRM2	0.484471	0.081981	0	GRM2	0.404740	0.157983	0.004151	GRM2	0.476919	0.082420	0.125090	0.087906
DGN-WB	922	ENSG00000114737.11	CISH	0.009391	0.009697	0.004495	CISH	0.402865	0.160956	0.006059	CISH	0.007940	0.008592	0.358159	0.160721
DGN-WB	922	ENSG00000003400.10	CASP10	0.074966	0.025943	1.825e-11	CASP10	0.402362	0.167003	0.01123	CASP10	0.073472	0.025364	0.387608	0.159530
DGN-WB	922	ENSG00000066382.12	MPPED2	0.383985	0.061940	0	MPPED2	0.401916	0.165512	0.009363	MPPED2	0.377497	0.062088	0.112270	0.111824
DGN-WB	922	ENSG00000103657.9	HERC1	0.078786	0.027004	3.568e-13	HERC1	0.401297	0.161112	0.004226	HERC1	0.078274	0.026753	0.402565	0.153145
DGN-WB	922	ENSG00000106537.7	TSPAN13	0.000001	0.014760	0.5	TSPAN13	0.400908	0.155703	0.003694	TSPAN13	0.000001	0.014423	0.394854	0.155644
DGN-WB	922	ENSG00000140479.12	PCSK6	0.046474	0.024860	0.01455	PCSK6	0.400794	0.172365	0.01515	PCSK6	0.047445	0.024702	0.411753	0.169349
DGN-WB	922	ENSG00000162236.7	STX5	0.000001	0.009491	0.5	STX5	0.400428	0.156494	0.003805	STX5	0.000001	0.009043	0.399668	0.156515
DGN-WB	922	ENSG00000138286.9	FAM149B1	0.066538	0.037211	0	FAM149B1	0.400405	0.166859	0.01008	FAM149B1	0.067090	0.037364	0.457685	0.155534
DGN-WB	922	ENSG00000138735.11	PDE5A	0.036233	0.020705	0.0003986	PDE5A	0.399507	0.165370	0.009315	PDE5A	0.034103	0.020090	0.345378	0.162872
DGN-WB	922	ENSG00000119801.8	YPEL5	0.000179	0.010071	0.4926	YPEL5	0.399362	0.158195	0.005263	YPEL5	0.000001	0.009954	0.399356	0.158202
DGN-WB	922	ENSG00000185650.8	ZFP36L1	0.061020	0.028844	0.003473	ZFP36L1	0.399211	0.162288	0.006193	ZFP36L1	0.057011	0.027910	0.351653	0.157869
DGN-WB	922	ENSG00000204560.5	DHX16	0.000001	0.006514	0.5	DHX16	0.399169	0.168245	0.01318	DHX16	0.000001	0.006618	0.398875	0.168250
DGN-WB	922	ENSG00000007038.6	PRSS21	0.066592	0.026024	7.942e-06	PRSS21	0.399161	0.161200	0.005241	PRSS21	0.067824	0.026064	0.417208	0.155795
DGN-WB	922	ENSG00000110079.12	MS4A4A	0.123361	0.038102	0	MS4A4A	0.398885	0.162470	0.007481	MS4A4A	0.119597	0.037358	0.244277	0.148014
DGN-WB	922	ENSG00000005961.13	ITGA2B	0.011502	0.011953	0.08873	ITGA2B	0.398820	0.171126	0.01302	ITGA2B	0.011491	0.011909	0.396434	0.170495
DGN-WB	922	ENSG00000205038.7	PKHD1L1	0.066442	0.025461	4.981e-10	PKHD1L1	0.398732	0.164893	0.008446	PKHD1L1	0.064981	0.025109	0.355856	0.158203
DGN-WB	922	ENSG00000161638.6	ITGA5	0.000001	0.012411	0.5	ITGA5	0.398592	0.163703	0.008246	ITGA5	0.000001	0.012465	0.398778	0.163666
DGN-WB	922	ENSG00000122861.11	PLAU	0.280891	0.077295	0	PLAU	0.397960	0.161543	0.006839	PLAU	0.277440	0.076971	0.169399	0.120705
DGN-WB	922	ENSG00000185340.11	GAS2L1	0.095145	0.034889	4.266e-07	GAS2L1	0.397562	0.162161	0.006513	GAS2L1	0.090160	0.033936	0.331179	0.153622
DGN-WB	922	ENSG00000006075.11	CCL3	0.017772	0.018258	0.1694	CCL3	0.397279	0.161628	0.006634	CCL3	0.016373	0.017735	0.390743	0.160883
DGN-WB	922	ENSG00000137563.7	GGH	0.135543	0.039793	5.551e-17	GGH	0.396796	0.162671	0.007859	GGH	0.133636	0.039069	0.363047	0.146396
DGN-WB	922	ENSG00000105426.10	PTPRS	0.163458	0.039683	1.011e-09	PTPRS	0.396282	0.156986	0.003945	PTPRS	0.153443	0.038668	0.284031	0.144916
DGN-WB	922	ENSG00000044574.7	HSPA5	0.021207	0.015803	0.01045	HSPA5	0.396255	0.163314	0.008052	HSPA5	0.022600	0.016141	0.418266	0.162144
DGN-WB	922	ENSG00000101417.7	PXMP4	0.017594	0.013997	0.02774	PXMP4	0.395033	0.165759	0.009467	PXMP4	0.017248	0.013668	0.390751	0.164015
DGN-WB	922	ENSG00000123810.3	B9D2	0.034712	0.020977	0.01081	B9D2	0.394394	0.166367	0.01	B9D2	0.032081	0.020291	0.361366	0.164395
DGN-WB	922	ENSG00000103274.6	NUBP1	0.052622	0.025094	0.001301	NUBP1	0.394259	0.162704	0.007322	NUBP1	0.051716	0.024803	0.381998	0.159907
DGN-WB	922	ENSG00000002330.9	BAD	0.026617	0.015729	0.001121	BAD	0.393301	0.167556	0.01275	BAD	0.026077	0.015467	0.384173	0.165913
DGN-WB	922	ENSG00000142534.2	RPS11	0.042053	0.021725	0.002174	RPS11	0.393045	0.163162	0.007901	RPS11	0.040279	0.021164	0.370612	0.160094
DGN-WB	922	ENSG00000169252.4	ADRB2	0.079144	0.031705	0.0001617	ADRB2	0.392465	0.164444	0.008694	ADRB2	0.075187	0.030780	0.360704	0.157033
