AssociatedGeneName	EnsemblGeneID	h2.CrossTissue	se.CrossTissue	h2.AdiposeSubcutaneous	se.AdiposeSubcutaneous	h2.ArteryTibial	se.ArteryTibial	h2.HeartLeftVentricle	se.HeartLeftVentricle	h2.Lung	se.Lung	h2.MuscleSkeletal	se.MuscleSkeletal	h2.NerveTibial	se.NerveTibial	h2.SkinSunExposedLowerleg	se.SkinSunExposedLowerleg	h2.Thyroid	se.Thyroid	h2.WholeBlood	se.WholeBlood
NIPAL2	ENSG00000104361.5	0.098295	0.049687	0.130058	0.074974	0.087348	0.065354	0.007414	0.051266	1e-06	0.043854	0.033238	0.035771	0.316593	0.088382	1e-06	0.043492	0.128716	0.069574	0.305114	0.086747
CNR1	ENSG00000118432.11	0.012511	0.024827	0.03593	0.047317	0.029133	0.047548	1e-06	0.059697	0.091462	0.060598	0.05125	0.04936	1e-06	0.037309	1e-06	0.033419	0.071856	0.062837	0.541781	0.065021
APOBEC3B	ENSG00000179750.11	0.266698	0.070422	0.009389	0.037153	1e-06	0.047688	1e-06	0.072648	1e-06	0.052078	1e-06	0.044087	1e-06	0.04991	1e-06	0.047446	0.001788	0.034509	0.520167	0.078587
AOC1	ENSG00000002726.15	0.050252	0.044567	0.08425	0.063291	0.05157	0.058975	0.548681	0.09258	0.020389	0.061251	1e-06	0.049017	1e-06	0.051631	0.041431	0.056101	0.054783	0.057041	0.52423	0.071721
PEX11G	ENSG00000104883.3	0.102741	0.051958	0.189033	0.079698	0.214213	0.089127	0.070283	0.094871	0.180922	0.087982	0.031636	0.056019	0.214211	0.102417	0.070936	0.072837	0.091623	0.083349	0.577428	0.071702
FAM118A	ENSG00000100376.7	0.856686	0.025129	0.697888	0.057832	0.64589	0.067167	0.761561	0.067318	0.861317	0.039525	0.453657	0.068826	0.835036	0.04646	0.657572	0.062068	0.822229	0.046015	0.770391	0.047001
PRUNE2	ENSG00000106772.13	0.175028	0.058615	1e-06	0.061662	1e-06	0.05034	0.084957	0.105058	0.108552	0.076631	1e-06	0.058225	1e-06	0.057801	0.032858	0.070684	0.108622	0.077071	0.673336	0.054301
LRRC6	ENSG00000129295.4	0.120373	0.04272	0.007755	0.034234	0.032217	0.049699	0.331238	0.098925	0.02465	0.045072	0.062181	0.050129	0.089056	0.082929	1e-06	0.045422	0.048139	0.062668	0.576461	0.067833
PILRA	ENSG00000085514.10	0.641152	0.049171	0.434274	0.075704	0.290706	0.071161	0.536877	0.086227	0.069512	0.048767	0.548472	0.064456	0.384915	0.077717	0.500799	0.06978	0.601225	0.06374	1e-06	0.030495
RPS28	ENSG00000233927.4	0.921936	0.014242	0.852259	0.035428	0.778058	0.046835	0.909441	0.039347	0.866012	0.034681	0.820114	0.033796	0.841437	0.041834	0.797075	0.041847	0.792582	0.046614	0.789567	0.040553
TREML4	ENSG00000188056.7	0.427977	0.057062	0.170852	0.070428	0.108228	0.071923	0.151909	0.101995	0.267057	0.081366	0.138981	0.063207	0.405242	0.094986	0.021947	0.052723	0.257724	0.084824	0.723452	0.047283
PAM	ENSG00000145730.16	0.034331	0.028433	0.062102	0.050572	0.013401	0.034181	0.054321	0.052309	0.018489	0.03552	0.027405	0.034545	0.151799	0.078508	0.06597	0.047174	0.066414	0.047542	0.382772	0.07829
RNPEP	ENSG00000176393.6	0.155895	0.067107	0.454979	0.087815	1e-06	0.065647	1e-06	0.087286	0.331461	0.097331	0.242764	0.075538	0.241934	0.098963	0.227331	0.087002	1e-06	0.050085	0.678605	0.057247
PLXDC1	ENSG00000161381.9	0.118429	0.058089	1e-06	0.045372	1e-06	0.041546	0.005915	0.048289	0.032468	0.050419	0.018013	0.035382	1e-06	0.064875	0.172538	0.074546	1e-06	0.027968	0.409605	0.073567
SORCS2	ENSG00000184985.12	0.038334	0.047073	0.151104	0.094792	0.17489	0.101408	1e-06	0.103982	0.182254	0.102473	1e-06	0.053708	1e-06	0.079962	1e-06	0.073059	0.209379	0.100326	0.263285	0.087396
PAPSS1	ENSG00000138801.4	0.196584	0.057955	1e-06	0.042733	0.334648	0.084761	0.049227	0.067559	0.372414	0.086055	1e-06	0.027993	0.014046	0.040654	0.111444	0.062246	0.2829	0.082269	0.506589	0.070757
VPS53	ENSG00000141252.15	0.463682	0.057303	0.280824	0.079859	0.23248	0.077452	0.341595	0.096371	0.309546	0.074532	0.214675	0.064689	0.426738	0.081801	0.213138	0.069275	0.499754	0.074103	0.472243	0.063949
SLC12A7	ENSG00000113504.15	0.072314	0.048332	0.23794	0.092824	1e-06	0.062926	0.113351	0.110478	1e-06	0.070469	1e-06	0.041198	0.027577	0.07817	1e-06	0.055572	1e-06	0.075174	0.594952	0.075181
KIAA1324	ENSG00000116299.12	0.128699	0.056675	1e-06	0.045789	1e-06	0.046175	1e-06	0.070637	1e-06	0.056073	1e-06	0.048667	1e-06	0.043768	1e-06	0.05844	0.07941	0.073654	0.586404	0.060746
ZP3	ENSG00000188372.10	0.830293	0.026956	0.698685	0.053067	0.781613	0.041065	0.724243	0.068233	0.782631	0.044711	0.676527	0.050178	0.641902	0.063097	0.543677	0.067828	0.6931	0.056346	0.520992	0.069178
DUT	ENSG00000128951.9	0.013464	0.023531	0.105214	0.06779	0.060069	0.053453	0.046312	0.080814	0.003121	0.036254	1e-06	0.027177	0.03318	0.053077	1e-06	0.027899	1e-06	0.063465	0.410589	0.073176
POLR2J3	ENSG00000168255.13	0.441104	0.066477	0.227933	0.082477	0.239429	0.084899	0.120349	0.085694	0.249459	0.087822	0.305684	0.076182	0.051339	0.050989	0.059745	0.05295	0.238759	0.089965	0.238531	0.079959
NFXL1	ENSG00000170448.7	0.35032	0.067331	0.096126	0.052019	0.090308	0.053412	1e-06	0.052964	0.173022	0.072414	0.043733	0.041198	0.118779	0.063947	0.107936	0.057013	0.083393	0.056496	0.465204	0.06759
RPL9	ENSG00000163682.11	0.909525	0.015171	0.803912	0.037541	0.825221	0.036451	0.822315	0.051441	0.832595	0.035441	0.842152	0.028457	0.82601	0.039104	0.809493	0.036516	0.863189	0.02995	0.778549	0.039033
TRMT12	ENSG00000183665.4	0.255751	0.060026	0.210768	0.078953	0.088796	0.061543	0.022753	0.081758	0.111703	0.072523	0.087685	0.060329	0.029253	0.057553	0.321269	0.077464	1e-06	0.048047	0.539901	0.062231
ST20	ENSG00000180953.7	0.729726	0.038868	0.561161	0.074718	0.471572	0.081681	0.338966	0.1134	0.499722	0.080456	0.287828	0.071479	0.741533	0.061731	0.596187	0.068681	0.640163	0.065727	0.437316	0.072492
ITGB3BP	ENSG00000142856.12	0.783915	0.031322	0.781169	0.041723	0.784216	0.041334	0.687372	0.074164	0.653237	0.060214	0.52851	0.061218	0.74768	0.051701	0.687004	0.055086	0.76745	0.043262	1e-06	0.035533
CPA5	ENSG00000158525.11	0.341087	0.060048	1e-06	0.047022	0.004691	0.046168	0.113262	0.087582	0.241444	0.077063	0.090257	0.055497	1e-06	0.063303	0.039195	0.047247	0.126685	0.0671	0.555266	0.063951
NDST1	ENSG00000070614.10	0.039595	0.042822	0.050895	0.054829	1e-06	0.053566	0.110947	0.09625	1e-06	0.060858	1e-06	0.033177	1e-06	0.050325	1e-06	0.060505	0.024041	0.055606	0.400754	0.077218
ADK	ENSG00000156110.9	0.221888	0.066932	1e-06	0.024813	0.007463	0.029102	0.299402	0.099221	0.207507	0.073246	0.011572	0.027389	0.015833	0.031239	0.082972	0.054621	0.041149	0.044715	0.439601	0.079251
UNC5B	ENSG00000107731.8	0.049409	0.041949	1e-06	0.058778	0.030814	0.060405	0.067767	0.10782	1e-06	0.065801	1e-06	0.044785	1e-06	0.077661	0.085279	0.070071	1e-06	0.074069	0.347623	0.078077
FABP2	ENSG00000145384.3	0.134388	0.049301	0.00116	0.020954	0.020666	0.031893	0.608256	0.07755	0.131406	0.060393	0.069351	0.039203	0.028474	0.035802	0.002473	0.01961	0.012234	0.03217	0.411357	0.071387
ABCA7	ENSG00000064687.8	0.197272	0.062465	0.126912	0.073204	0.07709	0.077936	0.098466	0.108956	0.283294	0.084861	0.127377	0.068456	0.418877	0.10065	0.327061	0.090264	1e-06	0.067128	0.501332	0.073537
ACCS	ENSG00000110455.9	0.68195	0.046319	0.653256	0.062192	0.654432	0.066246	0.540899	0.108877	0.691433	0.063862	0.490558	0.067701	0.770083	0.057711	0.735895	0.05229	0.72464	0.059349	0.661146	0.05895
GSTT2	ENSG00000099984.6	0.743483	0.03817	0.601898	0.066684	0.671402	0.058734	0.578338	0.090951	0.62132	0.065574	0.490067	0.068585	0.692662	0.063732	0.635432	0.062563	0.61359	0.065078	0.05459	0.051061
UBE2U	ENSG00000177414.8	0.294523	0.059534	1e-06	0.049976	1e-06	0.057994	0.41009	0.109027	0.102844	0.06564	1e-06	0.032632	0.026448	0.053538	0.195361	0.072316	0.25665	0.083464	0.198973	0.07481
NAV1	ENSG00000134369.11	0.022644	0.028609	1e-06	0.034225	0.013677	0.051398	1e-06	0.079925	1e-06	0.053393	0.104516	0.056739	1e-06	0.067715	1e-06	0.051888	0.060845	0.06469	0.319155	0.070024
GSTT2B	ENSG00000133433.6	0.735245	0.039813	0.332397	0.077475	0.609473	0.065759	0.48367	0.101295	0.566995	0.070889	0.298837	0.073561	0.605142	0.078228	0.646902	0.061361	0.604297	0.070581	0.025939	0.043178
A4GALT	ENSG00000128274.11	0.291222	0.068842	0.112781	0.070893	0.067986	0.067224	0.283673	0.109491	0.270103	0.091222	0.437733	0.079438	0.018953	0.044523	0.025452	0.044691	0.15618	0.079341	0.535602	0.072744
CCDC135	ENSG00000159625.10	0.044684	0.045697	1e-06	0.048784	0.067024	0.068871	1e-06	0.087156	1e-06	0.058688	1e-06	0.038645	1e-06	0.061552	1e-06	0.053346	1e-06	0.055317	0.367233	0.076019
MFN2	ENSG00000116688.12	0.226837	0.059878	0.19426	0.0878	1e-06	0.054921	0.08155	0.075684	0.304352	0.086057	0.040177	0.046669	0.070858	0.070837	0.028329	0.053674	1e-06	0.051479	0.601996	0.062479
MYEF2	ENSG00000104177.13	0.027346	0.034808	1e-06	0.040293	1e-06	0.056423	1e-06	0.069109	1e-06	0.043175	1e-06	0.037655	1e-06	0.049075	1e-06	0.035946	1e-06	0.048393	0.354519	0.068698
PGM5	ENSG00000154330.8	0.09851	0.048869	0.052777	0.051426	0.06345	0.056405	0.02117	0.061648	0.026717	0.041345	0.059376	0.044097	0.048739	0.056222	1e-06	0.039383	1e-06	0.033072	0.230648	0.070591
MCOLN2	ENSG00000153898.8	0.499309	0.055944	0.37886	0.074145	0.513126	0.079023	0.280404	0.096351	0.205325	0.07289	0.00642	0.038074	0.086788	0.06898	0.237888	0.075263	0.589349	0.068175	0.083348	0.059178
SPATA20	ENSG00000006282.15	0.766761	0.03663	0.805121	0.042539	0.728201	0.054812	0.78892	0.064975	0.712032	0.056621	0.703845	0.050141	0.849371	0.040661	0.742133	0.054938	0.459862	0.082097	0.744889	0.046895
OPRL1	ENSG00000125510.11	0.405187	0.064639	0.170665	0.077481	0.247742	0.087364	0.14804	0.083508	1e-06	0.046625	0.192105	0.069626	0.32428	0.090887	0.225437	0.074975	0.186013	0.080299	0.115952	0.065092
SEZ6	ENSG00000063015.15	1e-06	0.02385	0.054015	0.05271	0.007773	0.040084	1e-06	0.069636	1e-06	0.033798	1e-06	0.030171	1e-06	0.044698	1e-06	0.038607	0.006297	0.038072	1e-06	0.032411
SLC26A8	ENSG00000112053.9	0.433639	0.06058	0.427506	0.077054	0.203169	0.073006	0.066118	0.074283	1e-06	0.04082	0.099336	0.057728	0.340593	0.082351	0.201258	0.072027	0.555732	0.069557	0.036656	0.046165
C8orf31	ENSG00000177335.6	0.059094	0.044886	1e-06	0.048449	1e-06	0.041772	0.155789	0.093349	1e-06	0.046444	0.011057	0.034513	0.108211	0.076485	0.01768	0.05031	0.206146	0.07968	0.260771	0.071664
LEPROT	ENSG00000213625.4	1e-06	0.028923	1e-06	0.049112	1e-06	0.040614	0.11534	0.095071	1e-06	0.049406	0.046817	0.046628	1e-06	0.056781	0.076298	0.062857	1e-06	0.04731	0.507165	0.080813
SLC28A3	ENSG00000197506.6	0.199354	0.055555	0.008068	0.039597	1e-06	0.041586	1e-06	0.07359	0.088795	0.0664	1e-06	0.045274	0.078982	0.070388	0.086773	0.065851	0.036216	0.055125	0.062012	0.051133
PTF1A	ENSG00000168267.5	0.08167	0.047484	0.053714	0.061552	1e-06	0.059146	1e-06	0.058775	0.074113	0.070619	1e-06	0.028832	1e-06	0.032378	0.115762	0.066848	1e-06	0.032481	0.447369	0.093482
PSD4	ENSG00000125637.10	0.578659	0.058279	0.242359	0.077207	0.24328	0.085852	0.054098	0.0762	0.549681	0.080312	0.083971	0.055014	0.433433	0.087803	0.491831	0.078788	0.192989	0.073987	0.549286	0.066765
DCBLD1	ENSG00000164465.14	0.12683	0.051689	0.184295	0.068349	0.016138	0.037576	0.188101	0.095634	0.143479	0.063968	0.072465	0.044549	0.054872	0.057542	0.106528	0.063944	0.280196	0.075346	0.288446	0.067304
CNTNAP3B	ENSG00000154529.10	0.589401	0.112674	0.586862	0.125359	0.303825	0.155778	0.272156	0.150015	0.543157	0.138363	0.287636	0.130222	0.655304	0.112544	0.300508	0.141516	0.596162	0.132153	0.003863	0.01188
CDKN3	ENSG00000100526.15	1e-06	0.016803	1e-06	0.041653	1e-06	0.040263	1e-06	0.061406	1e-06	0.042949	1e-06	0.035704	1e-06	0.046946	1e-06	0.05039	1e-06	0.048603	0.065626	0.057304
RNASET2	ENSG00000026297.11	0.113733	0.048782	0.119182	0.077487	0.02617	0.050689	1e-06	0.079811	0.21498	0.078791	0.007216	0.045739	0.205022	0.08155	0.301132	0.073989	0.171712	0.078044	0.371114	0.071038
CARKD	ENSG00000213995.7	0.160248	0.059781	0.008632	0.05741	1e-06	0.072213	0.029222	0.089585	0.31074	0.094078	0.326652	0.073951	0.122355	0.083608	0.123768	0.077338	0.009487	0.064214	0.451494	0.074054
KRT38	ENSG00000171360.3	0.16123	0.056976	0.001796	0.029842	0.045547	0.047509	0.033538	0.074329	1e-06	0.037274	1e-06	0.030203	0.087324	0.055239	1e-06	0.040099	0.069173	0.055705	0.392535	0.072554
RDH13	ENSG00000160439.10	0.343992	0.069484	0.308895	0.082771	0.393302	0.095054	0.172533	0.127061	0.150591	0.091314	1e-06	0.053552	0.464174	0.093362	0.238237	0.081474	0.312508	0.100728	0.507712	0.072887
AGAP7	ENSG00000204169.6	0.801951	0.032317	0.542289	0.081618	0.447949	0.09571	0.032364	0.072649	0.730941	0.057652	0.335959	0.088095	0.444344	0.104745	0.633129	0.070254	0.62693	0.074762	0.324213	0.077946
NSUN4	ENSG00000117481.5	0.250115	0.070738	0.137341	0.06575	0.05144	0.048398	0.15091	0.076129	0.00848	0.025004	0.284571	0.0697	1e-06	0.032123	1e-06	0.017425	0.053549	0.04807	0.309615	0.073226
APOBEC3G	ENSG00000239713.3	0.445713	0.064649	0.330754	0.081362	0.377188	0.08027	0.133656	0.080053	0.152095	0.071302	0.108825	0.054954	0.421349	0.090413	0.266762	0.077631	0.494091	0.077159	0.094396	0.072397
NOD2	ENSG00000167207.7	0.091763	0.047665	1e-06	0.045429	1e-06	0.051572	1e-06	0.071883	0.008418	0.054991	0.033035	0.055321	0.169209	0.075338	0.099387	0.066641	1e-06	0.0587	0.429282	0.076966
GSTM4	ENSG00000168765.11	0.288841	0.066726	0.16931	0.084444	0.09396	0.071718	0.031135	0.072326	0.379031	0.089095	0.157907	0.069344	0.166675	0.092223	0.488825	0.081072	0.052035	0.059699	0.520896	0.071789
HOXB2	ENSG00000173917.9	0.341308	0.065858	0.183163	0.067525	0.129355	0.061246	0.048488	0.075944	0.178853	0.069898	0.153405	0.058852	0.047843	0.050766	0.108367	0.060908	0.194293	0.078336	0.433438	0.075441
KRT23	ENSG00000108244.12	0.194291	0.061639	0.051105	0.053284	1e-06	0.040481	0.039174	0.072838	0.280675	0.084156	0.015709	0.03261	1e-06	0.056734	0.004724	0.039351	1e-06	0.038435	0.588179	0.060667
NUDT7	ENSG00000140876.7	0.424881	0.064436	0.468408	0.078465	0.187313	0.086626	0.055894	0.097783	1e-06	0.050721	0.016018	0.045906	0.121148	0.078105	0.043449	0.065948	0.053918	0.072198	0.398692	0.079225
LRRC61	ENSG00000127399.10	0.545663	0.05264	0.324429	0.074588	0.214966	0.071861	0.398121	0.100931	0.321896	0.078336	0.416336	0.066124	0.417143	0.077628	0.371383	0.072272	0.438588	0.074847	0.210577	0.066681
FADS2	ENSG00000134824.9	0.262324	0.064759	0.030889	0.051487	0.136582	0.074178	0.285316	0.109598	0.150592	0.072464	0.093142	0.055781	0.246045	0.086652	0.004959	0.039455	0.346104	0.087419	0.50004	0.072113
TKTL1	ENSG00000007350.12	0.037478	0.046434	1e-06	0.079845	1e-06	0.075319	1e-06	0.087144	0.084465	0.074261	1e-06	0.04898	1e-06	0.070387	0.041837	0.063857	1e-06	0.060841	1e-06	0.061933
LRRC37A	ENSG00000176681.10	0.738136	0.044052	0.41286	0.083516	0.425845	0.08124	0.335096	0.102009	0.480531	0.087136	0.658013	0.060639	0.412421	0.090218	0.403371	0.087165	0.478085	0.08512	0.410217	0.08712
SMTNL1	ENSG00000214872.4	0.642996	0.05122	0.430362	0.084792	0.284392	0.07781	0.224672	0.094981	0.506349	0.076882	1e-06	0.023167	0.469148	0.083074	0.254441	0.079463	0.422365	0.083324	0.054144	0.045199
RFWD3	ENSG00000168411.9	0.371192	0.062893	0.24252	0.083469	0.230469	0.079665	1e-06	0.068715	0.115983	0.069776	0.160451	0.060306	0.187824	0.084732	0.320172	0.070817	0.230654	0.078926	0.219641	0.075932
TFIP11	ENSG00000100109.12	0.077692	0.055759	0.075143	0.077844	1e-06	0.067296	0.097456	0.120613	1e-06	0.073315	0.027897	0.061937	1e-06	0.078404	1e-06	0.071477	0.115552	0.084216	0.419075	0.083197
C10orf128	ENSG00000204161.9	0.057025	0.037871	0.026947	0.04892	0.072552	0.054047	0.078332	0.074831	0.018144	0.051511	0.049149	0.043121	1e-06	0.061599	1e-06	0.040788	0.062224	0.059971	0.299483	0.071021
CORIN	ENSG00000145244.7	1e-06	0.024105	1e-06	0.030516	0.065818	0.05238	0.311106	0.098734	1e-06	0.044137	1e-06	0.028405	1e-06	0.046128	1e-06	0.028443	0.01568	0.037321	0.290598	0.070494
TMEM9	ENSG00000116857.11	0.431856	0.067446	0.314327	0.092565	0.381546	0.087816	1e-06	0.070346	0.272577	0.090065	0.03435	0.042224	0.433293	0.094399	0.113936	0.081307	0.491631	0.084111	0.465415	0.075662
CCDC15	ENSG00000149548.10	0.415545	0.064008	0.006996	0.049585	0.058571	0.061069	0.086876	0.08744	0.199452	0.091983	0.173672	0.066688	0.075425	0.068762	0.37033	0.089758	0.215015	0.082347	0.282771	0.072168
CTXN2	ENSG00000233932.3	0.019131	0.021644	0.014774	0.039233	1e-06	0.044162	0.042641	0.065313	1e-06	0.043688	1e-06	0.023598	0.003636	0.034118	1e-06	0.036566	1e-06	0.038969	0.302841	0.068537
NT5C3B	ENSG00000141698.12	0.656481	0.047418	0.566911	0.067459	0.565441	0.068226	0.515879	0.085786	0.610968	0.065541	0.478612	0.07025	0.637256	0.064448	0.556949	0.066657	0.321955	0.084656	0.57807	0.062967
ADCK3	ENSG00000163050.11	0.064286	0.039487	0.065159	0.051844	0.064666	0.05587	0.01425	0.041172	0.105554	0.073346	1e-06	0.036651	1e-06	0.030239	1e-06	0.033186	0.072041	0.055116	0.270647	0.069573
KNSTRN	ENSG00000128944.8	0.750998	0.036666	0.497476	0.079273	0.65126	0.060769	0.671715	0.072214	0.325229	0.080687	0.459097	0.066322	0.674539	0.062661	0.301591	0.081963	0.189308	0.081115	0.317593	0.082097
FCGR2B	ENSG00000072694.14	0.111897	0.051316	0.06957	0.062318	1e-06	0.043728	1e-06	0.059312	1e-06	0.050469	1e-06	0.037261	0.074479	0.076658	0.050294	0.054111	0.041091	0.055826	0.464424	0.07913
LILRB5	ENSG00000105609.12	1e-06	0.047214	0.049618	0.067618	1e-06	0.080357	1e-06	0.096736	1e-06	0.081639	1e-06	0.06135	1e-06	0.071739	0.01049	0.060991	1e-06	0.082629	0.368545	0.083547
TNFAIP8L1	ENSG00000185361.4	0.054797	0.038299	0.055467	0.061474	0.103604	0.072781	0.083573	0.112297	0.029168	0.063039	0.007207	0.040697	0.111294	0.085494	0.022541	0.05056	1e-06	0.062728	0.094588	0.068006
MYCBPAP	ENSG00000136449.9	0.388684	0.064473	0.11438	0.071615	0.121404	0.073363	1e-06	0.065135	0.227471	0.095713	0.020665	0.044053	0.185566	0.082838	0.051924	0.057354	0.164244	0.078225	0.340172	0.079912
CTSW	ENSG00000172543.3	0.483931	0.062818	0.288641	0.076698	0.329451	0.077411	0.084529	0.06432	0.445505	0.079171	0.086761	0.047191	0.424272	0.079167	0.307522	0.074238	0.486634	0.074667	0.227787	0.07131
GCAT	ENSG00000100116.12	0.146887	0.055308	0.130859	0.066668	0.091617	0.058401	1e-06	0.076538	0.180976	0.073809	0.135472	0.056612	1e-06	0.053992	0.109393	0.067054	1e-06	0.054465	0.257839	0.074392
NT5E	ENSG00000135318.7	0.028045	0.026847	0.067501	0.050441	1e-06	0.025195	0.119373	0.083433	0.020536	0.036172	0.027577	0.036057	0.076077	0.045882	1e-06	0.025745	0.400794	0.076832	0.200882	0.06246
ADAD2	ENSG00000140955.6	0.37166	0.074731	0.027746	0.075885	1e-06	0.077835	0.240523	0.141423	1e-06	0.055531	0.338696	0.084461	0.296659	0.110479	0.231442	0.091506	0.184355	0.096455	0.065742	0.078188
CES1	ENSG00000198848.8	0.438328	0.066442	1e-06	0.04194	0.118158	0.076736	0.251024	0.117624	0.14805	0.073291	0.081204	0.061415	0.021265	0.055103	0.177329	0.086041	0.371682	0.096454	0.251923	0.08021
ZNF436	ENSG00000125945.9	0.433812	0.066134	0.082261	0.064002	0.253218	0.083578	0.059212	0.087635	0.112545	0.075556	0.172882	0.071071	0.353558	0.091831	0.388683	0.078515	0.336683	0.094356	1e-06	0.041603
HPR	ENSG00000261701.2	0.534377	0.061205	0.335695	0.085281	0.330754	0.08415	0.42724	0.106082	0.20337	0.082213	0.201508	0.067569	0.430772	0.0874	0.182606	0.07102	0.160629	0.065058	0.185631	0.06694
CNTNAP2	ENSG00000174469.13	0.056134	0.048352	1e-06	0.050731	0.075691	0.071224	1e-06	0.068917	1e-06	0.066175	1e-06	0.033825	1e-06	0.063309	1e-06	0.052898	0.024374	0.059099	0.049641	0.063216
CCDC94	ENSG00000105248.11	0.031539	0.041527	0.022919	0.057127	1e-06	0.05901	1e-06	0.080421	1e-06	0.065665	0.002543	0.038929	1e-06	0.075028	1e-06	0.051077	1e-06	0.058997	0.122221	0.06708
CTB-133G6.1	ENSG00000263264.1	1e-06	0.035615	1e-06	0.058871	1e-06	0.059845	1e-06	0.09322	1e-06	0.075399	1e-06	0.058141	1e-06	0.073693	0.068749	0.073158	1e-06	0.053875	0.10963	0.073029
HAUS4	ENSG00000092036.12	0.530176	0.055459	0.49121	0.076443	0.593061	0.071035	0.307383	0.108324	0.411932	0.087795	0.170996	0.066172	0.410689	0.088388	0.404321	0.077444	0.303269	0.083732	0.210118	0.077506
EHMT1	ENSG00000181090.13	0.020757	0.026905	0.014713	0.034105	1e-06	0.035169	0.015479	0.051018	0.026034	0.040651	0.071281	0.046015	1e-06	0.039938	1e-06	0.04675	0.02282	0.04644	0.318289	0.070569
GRHPR	ENSG00000137106.13	0.572538	0.057979	0.482605	0.079319	0.297361	0.088588	0.246056	0.109828	0.644739	0.072476	0.343556	0.080338	0.071641	0.071265	0.291236	0.084598	0.287286	0.088411	0.644402	0.06237
KIF16B	ENSG00000089177.13	0.404151	0.061366	0.074208	0.069587	0.030308	0.070547	0.145406	0.110961	0.178641	0.080828	0.147495	0.063686	0.36913	0.100017	0.227369	0.078881	0.400388	0.078125	0.457176	0.075285
BAMBI	ENSG00000095739.7	0.155192	0.058796	0.055328	0.06559	1e-06	0.063486	1e-06	0.071798	0.021768	0.060339	0.054614	0.052166	0.010953	0.059415	0.00628	0.054798	0.107789	0.076381	0.300174	0.076871
LILRA4	ENSG00000239961.2	0.395987	0.066794	0.312685	0.093453	0.14797	0.087086	0.077024	0.116107	0.31857	0.091209	0.335122	0.078386	1e-06	0.090981	0.0836	0.079837	0.09312	0.084495	0.515691	0.076513
H3F3A	ENSG00000163041.5	0.719687	0.043196	0.328828	0.077375	0.409538	0.080992	0.2239	0.085497	0.379945	0.086123	0.368045	0.072011	0.468045	0.084478	0.472391	0.081758	0.442562	0.085737	0.233021	0.073514
