AssociatedGeneName	EnsemblGeneID	h2.CrossTissue	se.CrossTissue	h2.AdiposeSubcutaneous	se.AdiposeSubcutaneous	h2.ArteryTibial	se.ArteryTibial	h2.HeartLeftVentricle	se.HeartLeftVentricle	h2.Lung	se.Lung	h2.MuscleSkeletal	se.MuscleSkeletal	h2.NerveTibial	se.NerveTibial	h2.SkinSunExposedLowerleg	se.SkinSunExposedLowerleg	h2.Thyroid	se.Thyroid	h2.WholeBlood	se.WholeBlood
TREML4	ENSG00000188056.7	0.427977	0.057062	1e-06	0.03867	0.000703	0.033458	0.006215	0.075387	0.01006	0.048933	0.073229	0.054862	0.103278	0.073679	1e-06	0.044358	0.060619	0.062125	0.408353	0.067546
PAM	ENSG00000145730.16	0.034331	0.028433	0.045664	0.053375	0.089865	0.058411	1e-06	0.041925	0.057713	0.043285	0.03352	0.032717	0.064408	0.050355	0.019699	0.030505	0.055001	0.044214	0.40027	0.081193
RNPEP	ENSG00000176393.6	0.155895	0.067107	0.050099	0.064609	1e-06	0.051655	0.027064	0.079807	0.164175	0.083443	0.259638	0.084868	0.146125	0.086963	1e-06	0.057124	0.024318	0.048317	0.399553	0.080277
PLXDC1	ENSG00000161381.9	0.118429	0.058089	1e-06	0.028103	1e-06	0.036503	0.090162	0.08551	0.012972	0.03977	0.086407	0.053293	1e-06	0.035341	0.077427	0.052777	0.004909	0.029332	0.396868	0.076657
SORCS2	ENSG00000184985.12	0.038334	0.047073	0.068989	0.076374	0.056682	0.080105	0.090685	0.086999	1e-06	0.068616	0.064425	0.057562	1e-06	0.063255	0.056247	0.058801	0.110658	0.075748	0.394846	0.088552
PAPSS1	ENSG00000138801.4	0.196584	0.057955	0.015963	0.03756	0.067538	0.056255	1e-06	0.057695	0.258243	0.083856	1e-06	0.035881	0.013004	0.042774	0.088698	0.058175	1e-06	0.036131	0.385804	0.074494
VPS53	ENSG00000141252.15	0.463682	0.057303	0.020498	0.044982	0.049921	0.070013	0.070971	0.069204	0.186968	0.071972	0.286047	0.066479	0.141503	0.075103	0.067342	0.050522	0.191848	0.078714	0.381654	0.071957
SLC12A7	ENSG00000113504.15	0.072314	0.048332	0.12641	0.080702	1e-06	0.046488	0.090751	0.094534	1e-06	0.06728	0.021984	0.037357	1e-06	0.056982	0.092014	0.070327	0.009351	0.032445	0.379934	0.084479
KIAA1324	ENSG00000116299.12	0.128699	0.056675	0.017433	0.040166	1e-06	0.037457	1e-06	0.060903	0.027793	0.048886	1e-06	0.033402	0.058188	0.051336	1e-06	0.061764	0.013106	0.042534	0.372229	0.073382
ZP3	ENSG00000188372.10	0.830293	0.026956	1e-06	0.034019	0.074071	0.048716	0.519579	0.094744	0.191284	0.078261	0.459744	0.069688	1e-06	0.049624	0.205129	0.075996	0.150057	0.073628	0.372076	0.071678
DUT	ENSG00000128951.9	0.013464	0.023531	1e-06	0.034061	1e-06	0.041963	1e-06	0.052092	0.000696	0.025523	1e-06	0.031174	0.000411	0.031001	1e-06	0.029727	1e-06	0.026587	0.369636	0.070361
POLR2J3	ENSG00000168255.13	0.441104	0.066477	1e-06	0.045178	0.031699	0.036501	1e-06	0.059281	0.001437	0.035104	0.0186	0.034004	0.0403	0.047691	0.043612	0.043725	0.026329	0.040093	0.363635	0.073456
NFXL1	ENSG00000170448.7	0.35032	0.067331	0.043892	0.040958	0.003368	0.029647	0.097085	0.071653	0.108883	0.058711	0.02016	0.034517	0.013587	0.04178	0.014294	0.034362	1e-06	0.030672	0.362649	0.071457
RPL9	ENSG00000163682.11	0.909525	0.015171	0.246221	0.076334	0.055144	0.050222	0.384603	0.104382	0.048201	0.0566	0.3252	0.070848	0.309263	0.085293	0.446392	0.076077	0.236687	0.080471	0.361256	0.073314
TRMT12	ENSG00000183665.4	0.255751	0.060026	1e-06	0.039029	0.022706	0.047938	0.229987	0.105024	0.153368	0.076698	0.035058	0.045387	0.038007	0.055576	0.276229	0.077998	1e-06	0.042165	0.359901	0.07074
ST20	ENSG00000180953.7	0.729726	0.038868	1e-06	0.043065	0.031801	0.046651	0.164881	0.098708	0.003448	0.03867	0.004738	0.036018	0.108768	0.080533	0.043534	0.048866	0.062751	0.058309	0.35689	0.072306
ITGB3BP	ENSG00000142856.12	0.783915	0.031322	1e-06	0.047015	0.075921	0.055763	1e-06	0.074851	0.090028	0.059863	0.054354	0.0452	0.156981	0.075901	0.029209	0.049077	0.457432	0.078442	0.353851	0.070307
CPA5	ENSG00000158525.11	0.341087	0.060048	0.03344	0.054358	1e-06	0.044719	0.079057	0.07978	0.16176	0.069988	1e-06	0.039577	1e-06	0.0437	0.018972	0.042363	0.03985	0.046435	0.353686	0.07036
NDST1	ENSG00000070614.10	0.039595	0.042822	0.062268	0.063834	0.009974	0.039279	0.043552	0.081244	0.025374	0.044527	1e-06	0.036649	1e-06	0.054389	0.032125	0.045598	0.035114	0.052377	0.351825	0.077613
ADK	ENSG00000156110.9	0.221888	0.066932	0.03468	0.044519	0.051606	0.052731	0.251695	0.097763	0.078699	0.046169	0.006813	0.02149	1e-06	0.027749	0.132934	0.061599	0.006917	0.023094	0.349252	0.078574
UNC5B	ENSG00000107731.8	0.049409	0.041949	0.062362	0.062326	0.006861	0.044057	0.072634	0.088438	0.036952	0.060154	0.004793	0.031939	1e-06	0.050029	0.190802	0.086135	1e-06	0.076299	0.346816	0.077445
FABP2	ENSG00000145384.3	0.134388	0.049301	1e-06	0.030568	0.043941	0.044119	0.591592	0.081266	0.10384	0.060546	0.064005	0.042764	0.030737	0.038167	0.002134	0.022684	0.008025	0.033445	0.342526	0.072997
ABCA7	ENSG00000064687.8	0.197272	0.062465	0.024752	0.04891	0.056163	0.046976	0.018452	0.075379	0.106715	0.073892	1e-06	0.049553	0.21517	0.094579	0.192534	0.088468	1e-06	0.044807	0.339981	0.084281
ACCS	ENSG00000110455.9	0.68195	0.046319	1e-06	0.054515	0.182798	0.078713	1e-06	0.085408	0.227172	0.091651	0.391955	0.076126	0.299657	0.089976	0.010337	0.042139	0.104938	0.073527	0.338235	0.074083
GSTT2	ENSG00000099984.6	0.743483	0.03817	0.30901	0.077711	0.06056	0.056507	0.078612	0.071097	0.09825	0.065179	0.385414	0.072312	0.090877	0.067773	0.492921	0.073053	0.063378	0.05912	0.337507	0.070089
UBE2U	ENSG00000177414.8	0.294523	0.059534	1e-06	0.051866	1e-06	0.050181	0.348945	0.108317	0.115682	0.069926	0.047966	0.048508	1e-06	0.05905	0.132739	0.070401	0.176292	0.074413	0.334077	0.075696
NAV1	ENSG00000134369.11	0.022644	0.028609	1e-06	0.048457	0.027201	0.059525	1e-06	0.087833	1e-06	0.044552	0.104651	0.055731	0.055952	0.067053	0.089149	0.058115	0.066237	0.064284	0.332904	0.070842
GSTT2B	ENSG00000133433.6	0.735245	0.039813	0.194532	0.068842	1e-06	0.052424	1e-06	0.061663	0.007222	0.038112	0.022588	0.042986	0.109047	0.070584	0.41115	0.075786	0.069642	0.062723	0.332015	0.070606
A4GALT	ENSG00000128274.11	0.291222	0.068842	0.013027	0.040748	0.184286	0.084753	0.079791	0.07846	0.018666	0.040492	0.139268	0.068089	1e-06	0.048349	0.097709	0.065645	0.147308	0.076648	0.329024	0.084683
CCDC135	ENSG00000159625.10	0.044684	0.045697	0.006136	0.039987	0.146122	0.083882	0.022855	0.065232	1e-06	0.056529	1e-06	0.041074	1e-06	0.058782	0.024906	0.055747	0.032896	0.058544	0.322544	0.080224
MFN2	ENSG00000116688.12	0.226837	0.059878	0.000736	0.030644	1e-06	0.043342	0.008039	0.04642	0.163707	0.084492	0.012646	0.035325	0.047373	0.058059	0.102415	0.063229	1e-06	0.031935	0.321027	0.074131
MYEF2	ENSG00000104177.13	0.027346	0.034808	1e-06	0.03417	0.038946	0.054339	1e-06	0.070007	1e-06	0.035513	0.000187	0.02233	0.048179	0.043995	0.028576	0.046575	0.026545	0.040554	0.317368	0.068775
PGM5	ENSG00000154330.8	0.09851	0.048869	1e-06	0.031707	1e-06	0.041364	1e-06	0.05489	1e-06	0.04224	0.025506	0.033277	1e-06	0.036607	1e-06	0.03603	0.003011	0.032511	0.315153	0.076325
MCOLN2	ENSG00000153898.8	0.499309	0.055944	0.111901	0.058387	0.205384	0.074739	0.042949	0.066622	0.053278	0.052207	0.017155	0.035401	0.214485	0.077963	0.054619	0.050393	0.210241	0.077793	0.314503	0.070199
SPATA20	ENSG00000006282.15	0.766761	0.03663	0.072236	0.069286	0.00987	0.035154	0.040347	0.074079	0.136213	0.069355	0.095898	0.053956	0.135235	0.081968	1e-06	0.038912	0.401397	0.087296	0.312264	0.072021
OPRL1	ENSG00000125510.11	0.405187	0.064639	0.018294	0.037021	1e-06	0.042428	0.025079	0.065581	0.068375	0.056394	0.043424	0.044193	0.041983	0.053249	0.158667	0.071553	0.058312	0.055889	0.310082	0.078913
SEZ6	ENSG00000063015.15	1e-06	0.02385	0.02498	0.039974	0.00453	0.03744	1e-06	0.068822	1e-06	0.035511	1e-06	0.031962	1e-06	0.042351	1e-06	0.052696	0.004398	0.035621	0.308892	0.089615
SLC26A8	ENSG00000112053.9	0.433639	0.06058	0.194997	0.079475	0.04285	0.048827	1e-06	0.075727	0.116911	0.065319	1e-06	0.032238	0.192862	0.08004	0.085739	0.057804	0.237931	0.080519	0.308023	0.069451
C8orf31	ENSG00000177335.6	0.059094	0.044886	0.030014	0.046269	1e-06	0.033188	0.076753	0.07754	0.010208	0.041628	0.013535	0.031732	0.054275	0.06047	0.044693	0.049963	0.092985	0.069701	0.306379	0.074162
LEPROT	ENSG00000213625.4	1e-06	0.028923	1e-06	0.042586	1e-06	0.048161	0.103924	0.079366	0.018131	0.03553	0.017644	0.036705	0.056777	0.062125	0.005976	0.030334	0.053086	0.051392	0.304997	0.087566
SLC28A3	ENSG00000197506.6	0.199354	0.055555	0.100003	0.057232	1e-06	0.057565	0.021784	0.06774	0.149799	0.068642	1e-06	0.034251	0.059449	0.056496	0.031114	0.042573	1e-06	0.049324	0.303641	0.07734
PTF1A	ENSG00000168267.5	0.08167	0.047484	1e-06	0.046041	1e-06	0.051177	1e-06	0.070442	0.022308	0.04054	1e-06	0.025649	1e-06	0.028129	0.102057	0.058809	0.00347	0.020627	0.300097	0.086913
PSD4	ENSG00000125637.10	0.578659	0.058279	1e-06	0.033902	0.034201	0.039856	1e-06	0.050153	0.008532	0.035235	1e-06	0.029137	0.131566	0.06973	0.056526	0.046068	1e-06	0.025082	0.29968	0.075271
DCBLD1	ENSG00000164465.14	0.12683	0.051689	0.123761	0.058954	0.056823	0.051248	0.00592	0.059884	0.12447	0.062315	0.062853	0.041726	0.037039	0.049228	0.001328	0.038935	0.142794	0.06489	0.297629	0.070578
CNTNAP3B	ENSG00000154529.10	0.589401	0.112674	1e-06	0.010756	0.033189	0.036291	0.053652	0.058547	0.008661	0.021543	0.012703	0.015901	1e-06	0.014022	1e-06	0.009362	1e-06	0.015314	0.294063	0.136497
CDKN3	ENSG00000100526.15	1e-06	0.016803	0.071711	0.058223	0.015455	0.0389	0.056812	0.063814	0.022615	0.040281	1e-06	0.033544	1e-06	0.037214	1e-06	0.050799	0.056665	0.054973	0.293057	0.085492
RNASET2	ENSG00000026297.11	0.113733	0.048782	1e-06	0.04611	1e-06	0.064627	0.034838	0.075011	0.030165	0.055083	1e-06	0.05846	0.066935	0.064049	0.184574	0.067064	1e-06	0.037622	0.291693	0.07898
CARKD	ENSG00000213995.7	0.160248	0.059781	0.134589	0.079253	0.000667	0.036804	0.056218	0.093979	0.077057	0.075897	0.113426	0.063814	0.01879	0.055454	0.023126	0.056339	0.091547	0.079244	0.290291	0.074495
KRT38	ENSG00000171360.3	0.16123	0.056976	0.02824	0.03693	0.049106	0.047298	0.018586	0.066341	1e-06	0.050292	1e-06	0.028623	0.077803	0.055491	0.022376	0.035402	0.030925	0.046592	0.29018	0.071263
RDH13	ENSG00000160439.10	0.343992	0.069484	0.145559	0.077964	0.29328	0.099577	0.158132	0.12876	0.064787	0.072685	1e-06	0.050219	0.253868	0.098385	0.268878	0.090054	0.021013	0.059345	0.290119	0.080897
AGAP7	ENSG00000204169.6	0.801951	0.032317	1e-06	0.038382	0.027941	0.039917	0.00931	0.052009	0.113855	0.072035	1e-06	0.029561	0.025046	0.039385	0.076264	0.06026	0.010981	0.027949	0.28664	0.085801
NSUN4	ENSG00000117481.5	0.250115	0.070738	1e-06	0.02624	1e-06	0.030588	0.068623	0.060201	0.014509	0.028085	0.094888	0.046777	0.011301	0.030134	1e-06	0.026007	1e-06	0.029739	0.285453	0.069898
APOBEC3G	ENSG00000239713.3	0.445713	0.064649	0.018069	0.03683	0.072734	0.055616	1e-06	0.055121	1e-06	0.056438	0.013788	0.034193	1e-06	0.04048	0.084387	0.054968	0.132868	0.069447	0.284526	0.071973
NOD2	ENSG00000167207.7	0.091763	0.047665	1e-06	0.045434	1e-06	0.052126	1e-06	0.062503	0.013954	0.04343	1e-06	0.036031	0.131539	0.071195	0.053167	0.056119	1e-06	0.053275	0.283428	0.074915
GSTM4	ENSG00000168765.11	0.288841	0.066726	0.043078	0.055712	1e-06	0.047711	0.189055	0.097598	0.081244	0.059704	0.166032	0.071656	1e-06	0.049908	0.278297	0.085856	0.069862	0.06498	0.282149	0.073567
HOXB2	ENSG00000173917.9	0.341308	0.065858	0.059656	0.04257	0.057843	0.045629	0.024873	0.052944	0.034829	0.038205	0.065358	0.04359	0.054945	0.050598	0.038256	0.045183	0.065018	0.05423	0.280619	0.076875
KRT23	ENSG00000108244.12	0.194291	0.061639	0.035627	0.049301	1e-06	0.03254	0.088977	0.084105	0.205676	0.081712	0.147513	0.061259	1e-06	0.031741	0.018142	0.04763	1e-06	0.036228	0.279591	0.076699
NUDT7	ENSG00000140876.7	0.424881	0.064436	0.308714	0.078898	0.205439	0.085459	0.030263	0.066522	1e-06	0.044813	0.007791	0.041551	0.05073	0.068195	0.037458	0.045741	0.071752	0.063824	0.277747	0.079135
LRRC61	ENSG00000127399.10	0.545663	0.05264	0.00678	0.037512	0.033406	0.036714	1e-06	0.053892	1e-06	0.04656	0.179248	0.062894	0.064058	0.052902	0.067409	0.048613	0.015832	0.047022	0.275486	0.077504
FADS2	ENSG00000134824.9	0.262324	0.064759	0.020978	0.034206	0.019183	0.034619	1e-06	0.071056	1e-06	0.042203	1e-06	0.022154	1e-06	0.035848	0.04916	0.044897	0.007743	0.030613	0.274654	0.070571
TKTL1	ENSG00000007350.12	0.037478	0.046434	0.003233	0.050814	0.082314	0.085091	0.021537	0.065023	0.053957	0.07814	0.029237	0.047493	0.056015	0.074902	0.074286	0.05907	1e-06	0.059542	0.273092	0.090079
LRRC37A	ENSG00000176681.10	0.738136	0.044052	0.066859	0.048475	0.36247	0.090972	1e-06	0.043331	0.005795	0.024461	0.205423	0.076775	0.107987	0.064477	0.390067	0.087512	0.005481	0.025789	0.271031	0.075192
SMTNL1	ENSG00000214872.4	0.642996	0.05122	1e-06	0.026575	0.019938	0.035668	0.004312	0.039907	0.079634	0.050598	0.453591	0.074371	1e-06	0.031211	0.016269	0.034008	0.010156	0.033671	0.270507	0.075158
RFWD3	ENSG00000168411.9	0.371192	0.062893	1e-06	0.042397	0.02143	0.036182	0.126939	0.077321	1e-06	0.052854	0.110238	0.058432	1e-06	0.035571	0.131376	0.060385	0.040241	0.053933	0.270466	0.066601
TFIP11	ENSG00000100109.12	0.077692	0.055759	0.06106	0.077834	1e-06	0.044415	0.074975	0.119257	1e-06	0.068664	1e-06	0.055945	1e-06	0.080102	0.000624	0.047794	0.087068	0.076486	0.270305	0.085748
C10orf128	ENSG00000204161.9	0.057025	0.037871	0.014441	0.038287	1e-06	0.042882	0.037221	0.067448	0.016864	0.047593	0.056709	0.046022	1e-06	0.045272	1e-06	0.031596	0.059146	0.056098	0.269392	0.070202
CORIN	ENSG00000145244.7	1e-06	0.024105	1e-06	0.027353	0.059561	0.054473	0.025451	0.062559	1e-06	0.038677	0.000376	0.027116	1e-06	0.041192	1e-06	0.029598	0.005766	0.029878	0.268237	0.067047
TMEM9	ENSG00000116857.11	0.431856	0.067446	1e-06	0.045531	0.1446	0.080187	0.014664	0.065401	1e-06	0.043646	0.062302	0.047641	0.126351	0.073847	1e-06	0.065256	0.082123	0.075145	0.266601	0.075767
CCDC15	ENSG00000149548.10	0.415545	0.064008	0.111174	0.060037	1e-06	0.040953	0.029362	0.069967	0.042404	0.059336	0.099546	0.058939	1e-06	0.057484	0.011307	0.04435	0.017174	0.042297	0.266493	0.078018
CTXN2	ENSG00000233932.3	0.019131	0.021644	1e-06	0.033613	0.002993	0.02236	0.038429	0.065058	1e-06	0.031327	0.011386	0.029398	0.037459	0.053263	0.000233	0.033623	1e-06	0.035444	0.26395	0.068451
NT5C3B	ENSG00000141698.12	0.656481	0.047418	0.040119	0.042563	0.054979	0.047095	0.023149	0.061047	0.192321	0.078701	1e-06	0.028673	0.089902	0.053807	0.078739	0.050363	0.451535	0.074314	0.263878	0.071542
ADCK3	ENSG00000163050.11	0.064286	0.039487	0.04566	0.044707	0.066839	0.050333	1e-06	0.045719	1e-06	0.048357	0.004643	0.023955	1e-06	0.031124	0.085395	0.048436	1e-06	0.031785	0.263172	0.069899
KNSTRN	ENSG00000128944.8	0.750998	0.036666	1e-06	0.040312	0.266807	0.084153	0.040545	0.058216	1e-06	0.03076	0.070145	0.049391	0.19892	0.08718	1e-06	0.037816	0.052465	0.049147	0.260414	0.079584
FCGR2B	ENSG00000072694.14	0.111897	0.051316	0.01216	0.051045	1e-06	0.066651	1e-06	0.066488	0.029538	0.044201	1e-06	0.027914	0.040175	0.070056	0.028884	0.043189	0.072236	0.061854	0.259435	0.077591
LILRB5	ENSG00000105609.12	1e-06	0.047214	0.081526	0.08005	1e-06	0.057305	1e-06	0.098809	1e-06	0.076078	1e-06	0.054668	1e-06	0.066233	0.10075	0.067111	1e-06	0.079296	0.258118	0.080021
TNFAIP8L1	ENSG00000185361.4	0.054797	0.038299	1e-06	0.045532	0.063321	0.061172	0.014069	0.080358	1e-06	0.056903	0.00686	0.040599	0.08688	0.07936	0.035417	0.047123	1e-06	0.058606	0.257221	0.083127
MYCBPAP	ENSG00000136449.9	0.388684	0.064473	1e-06	0.0492	0.035539	0.049594	0.035264	0.074365	0.012064	0.050484	0.033078	0.041841	1e-06	0.052149	1e-06	0.05297	0.075604	0.070581	0.254843	0.077954
CTSW	ENSG00000172543.3	0.483931	0.062818	0.030429	0.041537	1e-06	0.03437	0.047912	0.066099	0.003454	0.022618	0.014032	0.024984	0.095615	0.068101	0.027146	0.035014	0.097235	0.058716	0.252049	0.068668
GCAT	ENSG00000100116.12	0.146887	0.055308	0.139818	0.071087	0.03316	0.049171	1e-06	0.067691	0.081759	0.068475	0.044605	0.045076	1e-06	0.055106	0.028823	0.046869	0.129959	0.078049	0.251773	0.076086
NT5E	ENSG00000135318.7	0.028045	0.026847	0.042042	0.044969	0.031274	0.033894	0.09828	0.083581	1e-06	0.037758	1e-06	0.037702	0.084769	0.049862	1e-06	0.03142	0.27744	0.077458	0.251754	0.072096
ADAD2	ENSG00000140955.6	0.37166	0.074731	0.005289	0.060464	0.032417	0.044619	0.105066	0.107233	0.031887	0.060216	0.248636	0.086301	0.131526	0.085255	0.072873	0.079356	1e-06	0.075077	0.250815	0.0858
CES1	ENSG00000198848.8	0.438328	0.066442	0.019136	0.034786	0.117343	0.075271	0.000826	0.052613	0.077008	0.071802	0.156614	0.068674	1e-06	0.062088	0.066184	0.06546	0.162863	0.087358	0.250346	0.074725
ZNF436	ENSG00000125945.9	0.433812	0.066134	0.024965	0.050158	0.018888	0.040533	1e-06	0.077377	0.036271	0.05621	0.057678	0.045746	1e-06	0.04299	0.051352	0.050877	1e-06	0.047003	0.249442	0.079445
HPR	ENSG00000261701.2	0.534377	0.061205	1e-06	0.03176	0.12633	0.063912	1e-06	0.046033	0.006173	0.029545	1e-06	0.029421	0.003982	0.025192	0.14822	0.06866	0.114635	0.05733	0.249431	0.077801
CNTNAP2	ENSG00000174469.13	0.056134	0.048352	1e-06	0.04096	0.134076	0.079989	0.020357	0.062867	1e-06	0.051228	0.022295	0.034007	0.055773	0.064938	1e-06	0.034892	0.071691	0.062934	0.249007	0.084973
CCDC94	ENSG00000105248.11	0.031539	0.041527	0.052075	0.053683	0.007551	0.039938	0.118397	0.100584	1e-06	0.048241	1e-06	0.032581	1e-06	0.068343	0.041383	0.053459	0.017989	0.061472	0.247913	0.073087
CTB-133G6.1	ENSG00000263264.1	1e-06	0.035615	1e-06	0.049241	1e-06	0.043062	1e-06	0.090694	0.09734	0.076136	1e-06	0.051845	1e-06	0.076345	0.034	0.067494	0.011223	0.057498	0.247098	0.082629
HAUS4	ENSG00000092036.12	0.530176	0.055459	0.200798	0.077828	0.192303	0.071625	1e-06	0.066358	1e-06	0.060358	0.175904	0.065392	0.07483	0.064094	0.059209	0.045404	0.007885	0.051355	0.245683	0.068722
EHMT1	ENSG00000181090.13	0.020757	0.026905	0.011475	0.030981	0.007946	0.034531	1e-06	0.075887	1e-06	0.028875	0.038122	0.032095	1e-06	0.033577	0.042668	0.0382	0.050707	0.04507	0.244867	0.072733
GRHPR	ENSG00000137106.13	0.572538	0.057979	0.026283	0.043427	1e-06	0.049881	1e-06	0.06235	0.078293	0.057351	0.017824	0.030276	1e-06	0.045335	0.049249	0.052157	0.121368	0.076771	0.243224	0.075834
KIF16B	ENSG00000089177.13	0.404151	0.061366	1e-06	0.062688	0.008196	0.051926	0.077701	0.093162	0.126554	0.07746	1e-06	0.050412	0.049238	0.066456	0.019485	0.047347	0.169706	0.078898	0.23717	0.071977
BAMBI	ENSG00000095739.7	0.155192	0.058796	0.043431	0.061365	0.055253	0.056759	0.013155	0.069719	0.154489	0.080045	0.122963	0.068783	0.043996	0.064533	0.119475	0.077747	0.084698	0.072406	0.236316	0.078072
LILRA4	ENSG00000239961.2	0.395987	0.066794	0.125629	0.089357	1e-06	0.067145	1e-06	0.088882	0.129922	0.082179	0.264848	0.077897	1e-06	0.074633	0.088838	0.070544	0.003173	0.049564	0.235943	0.080011
H3F3A	ENSG00000163041.5	0.719687	0.043196	1e-06	0.035165	1e-06	0.046008	1e-06	0.056926	0.121894	0.070109	0.009272	0.033369	0.098624	0.062065	0.02309	0.040508	1e-06	0.052526	0.235219	0.065833
